order_id	rate_detail	rate_num
5.77E+17	不走高速，多坐了一个多小时的路程，一次很不愉快的旅程！	1
5.77E+17	开车稳稳得！新车第一次做啊。期待下次合作！	3
5.77E+17	师傅人真的超好！非常有礼貌，也很健谈！期待再次同行！	3
5.77E+17	超载加超车，加绕路，真是醉了，脾气也不好，不敢坐了，好怕怕，拐进村子里，黑漆漆的	1
5.77E+17	帮亲戚叫的车，几十块钱电话打几个来吹，都说了忙完了马上确认，要是有时间我不会自己送还打什么车？	1
5.77E+17	没有在定位处等待，直接开走了，然后打电话给我说没看到我人就开走了，让他开回来很不情愿，上车后一直在说是我的责任，还骂我！还说我打的是顺风车，过来接已经很不错了，我们就争辩，他直接让我下车了！外面下着大雨！没有伞！	1
5.77E+17	未到达目的地 想让我下车自己走过去 还有一大段路 我没有妥协！一个小女生拿着28寸的大行李箱都不下来帮帮忙	1
5.77E+17	坦诚的告诉乘客你的想法，并且以尊重的心态与他人沟通	2
5.77E+17	车牌不符合就算了，坐的也不舒服，为了省10多块高速费，半个钟车程硬走了一个半钟。	1
5.77E+17	感谢，感谢，又送了我一段路程，期待下次相遇	3
5.77E+17	太年轻了！一年的驾龄高速上昌河面包时速120:	1
5.77E+17	谁坐谁赚到哇！小哥哥不仅帅人也超好！ps.钟经理给了好座位还送小吃！谢谢谢谢谢谢谢啦！	3
1.15E+18	逆行_人生第一次搭车是逆行的，而且是要我提醒才知道	1
5.77E+17	开的那个慢呀！迟到二十分钟，也不打个电话说声。	1
1.15E+18	提前到了，还愿意等，因为要做肩颈理疗所以拖迟了一会，师傅非常耐心等着，很棒	3
1.15E+18	迟到严重，10分钟以上就特别讨人厌好不好！	1
5.77E+17	司机人很好，还差几分钟就不能拼车了，司机接了单	3
5.77E+17	用多个软件拼车接单 实际拼车⋯⋯确按照未拼车成功支付金额	1
5.77E+17	车内有人，并且服务态度欠佳，并带嘲笑语气。	1
5.77E+17	打的是优享车，结果开的是另一辆车，根本配不上优享的钱	1
5.77E+17	师傅非常好，老人将钱包落在车上，师傅特意给送过去了！拾金不昧！大大的赞?	3
5.77E+17	害我迟到扣了一百 75公里你跑了四个小时 最赶时间最早上车是我 而且也是和蓬江区差不多距离 为什么要送最迟上车的人先回	1
5.77E+17	今晚居然拼车成功，省了10几蚊，元宵节快乐！	3
5.77E+17	素质太差⋯同时做快车和顺风车⋯带绕了小大圈⋯嘴巴太老	1
5.77E+17	司机很热情，和他聊天很自在，东西落车上也热心帮我送回来，非常感谢他t(*?︶`*)s	3
5.77E+17	为了赚自己几十块钱     害别人受罪自私自利为了钱不择手段	1
5.77E+17	师傅超级好的，等了我好久，木有脾气。好有礼貌，健谈	3
1.15E+18	车主人超级好 多等了我将近10分钟 还提醒我出站厅有很多电动车让我小心点注意安全 觉得很暖心谢谢！期待下次继续打到他的车！	3
1.15E+18	大哥哥  我加不上你微信  你是不是不要钱了啊！ 看到了快加我微信！你微信加不上！ ????	3
5.77E+17	朋友说跟他聊了一路作为旁听者感觉司机和蔼可亲。很可爱。很好人	3
